Month,total_fuels_MWh,coal_MWh,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,Column1,Column2
2001-01-01,332493160,177287.111,42388663,68707077,18852048,130125075.1,FALSE
2001-02-01,282940198,149735.484,37966927,61272407,17472889,116861958.5,FALSE
2001-03-01,300706544,155269.011,44364414,62140712,20477189,127137584,FALSE
2001-04-01,278078871,140670.654,45842746,56003026,18012994,119999436.7,FALSE
2001-05-01,300491621,151592.914,50934205,61512445,19175635,131773877.9,FALSE
2001-06-01,327693978,162615.804,57603154,68023098,20727630,146516497.8,FALSE
2001-07-01,357613700,179060.41,73030142,69166040,18079119,160454361.4,FALSE
2001-08-01,370532828,183116.073,78409804,68389496,18913768,165896184.1,FALSE
2001-09-01,306928866,154158.317,60181140,63378451,15256027,138969776.3,FALSE
2001-10-01,294733613,148930.816,56376441,60460967,15234503,132220841.8,FALSE
2001-11-01,278933942,144116.998,44490622,62341711,15412929,122389379,FALSE
2001-12-01,305496328,157402.35,47540861,67430878,19346314,134475455.4,FALSE
2002-01-01,319941476,164358.018,48412832,70925863,21794932,141297985,FALSE
2002-02-01,281825712,143048.822,44308431,61658274,20191683,126301436.8,FALSE
2002-03-01,302549011,151485.651,51214464,63040647,21008813,135415409.7,FALSE
2002-04-01,289848253,142304.595,49146409,58437062,24246605,131972380.6,FALSE
2002-05-01,307674569,151406.401,50275237,63032192,26662695,140121530.4,FALSE
2002-06-01,341023144,164667.695,65631018,66371896,28212847,160380428.7,FALSE
2002-07-01,381542107,183194.702,83917269,70420827,25470647,179991937.7,FALSE
2002-08-01,374585819,179955.447,84476867,70777688,21083924,176518434.4,FALSE
2002-09-01,331279434,165366.309,68161131,64480790,17086782,149894069.3,FALSE
2002-10-01,307059460,159099.294,54200820,60493052,17171334,132024305.3,FALSE
2002-11-01,296289561,156053.655,45160876,61520324,19730029,126567282.7,FALSE
2002-12-01,324833705,172189.765,46100393,68905472,21668540,136846594.8,FALSE
2003-01-01,341988901,181313.153,50175746,69211084,20600079,140168222.2,FALSE
2003-02-01,299248777,156982.481,43546573,60941869,19779860,124425284.5,FALSE
2003-03-01,304317265,155001.775,46699026,59933261,24202273,130989561.8,FALSE
2003-04-01,285755699,141959.981,45195383,56775591,24758962,126871896,FALSE
2003-05-01,307544887,150262.977,49372963,62201960,29395256,141120442,FALSE
2003-06-01,328693698,162284.63,54452951,64180727,28586300,147382262.6,FALSE
2003-07-01,374396050,181852.318,76938278,69652754,24843095,171615979.3,FALSE
2003-08-01,381816319,185331.823,83249694,69023878,22972030,175430933.8,FALSE
2003-09-01,323135534,164910.002,59089943,63583645,18480455,141318953,FALSE
2003-10-01,306740933,159322.942,51824169,60016207,18428423,130428121.9,FALSE
2003-11-01,297866711,158223.194,45327919,59600020,19715265,124801427.2,FALSE
2003-12-01,331680430,176291.473,44034895,68611699,24044330,136867215.5,FALSE
2004-01-01,346545627,180657.4205,48253372.13,70806160,22983305.88,142223495.4,FALSE
2004-02-01,314279909.5,161503.0922,50319874.78,64101949,20913616.71,135496943.6,FALSE
2004-03-01,308812095.5,154288.4192,49801186.9,63285116,22914281.23,136154872.5,FALSE
2004-04-01,290559914.2,141470.9562,51821988.26,58620255,20887974.81,131471689,FALSE
2004-05-01,327380263.6,157016.3772,62021808.07,64917412,24019718.12,151115954.6,FALSE
2004-06-01,345085078.8,167641.9063,64685669.04,67734073,25252345.03,157839729,FALSE
2004-07-01,377331697.1,181491.8206,79290022.24,71975040,23318279.53,174764833.6,FALSE
2004-08-01,368439037.1,178181.3426,77820688.35,71068483,21591967.42,170659320.1,FALSE
2004-09-01,335622197.9,164252.9233,67853993.34,65932057,20525261.37,154475564.6,FALSE
2004-10-01,312450222.9,157605.0954,57228813.99,62530352,18862795.4,138779566.5,FALSE
2004-11-01,302101256.2,157435.9942,49693033.98,58940863,20937044.38,129728377.4,FALSE
2004-12-01,341947963.4,176755.2015,51309565.47,68616627,26210718.49,146313666.2,FALSE
2005-01-01,343121453.4,177013.9066,51337627.07,69828239,24272164.85,145615044.8,FALSE
2005-02-01,298500315.6,155818.0141,44912616.65,60946934,21606773.94,127622142.6,FALSE
2005-03-01,317458276.5,163612.7005,51896972.71,61538530,22936067.49,136535182.9,FALSE
2005-04-01,289562399.9,143083.239,52016285.98,55484010,23058358.63,130701737.8,FALSE
2005-05-01,315062109.9,153957.9615,54826004.02,62970464,27278510.96,145228936.9,FALSE
2005-06-01,363671636,174866.9973,75635492.54,66144275,26782989.93,168737624.5,FALSE
2005-07-01,402273846.5,186090.7572,96819410.31,71070011,25956841.52,194032353.6,FALSE
2005-08-01,404940681.1,187573.7544,100786654.4,71381550,21565678.82,193921456.9,FALSE
2005-09-01,350217800.5,171656.2155,73355482.69,66738979,17363684.01,157629801.9,FALSE
2005-10-01,316397923.6,162436.793,55940880.89,61235597,18006360.26,135345274.9,FALSE
2005-11-01,306115236.2,158797.527,49440225.94,62912709,19352667.79,131864400.3,FALSE
2005-12-01,348101070.6,177965.1796,53992601.22,71735067,22141156.75,148046790.1,FALSE
2006-01-01,328657738.5,169236.0806,43806920.78,71911532,27436655.97,143324344.8,FALSE
2006-02-01,307333430,158616.1889,47408989.4,62615654,24761683.18,134944942.8,FALSE
2006-03-01,318729799.6,161325.1153,54921741.89,63720849,24624608.81,143428524.8,FALSE
2006-04-01,297858077.5,141426.2336,56090856.28,57567204,28555682.97,142355169.5,FALSE
2006-05-01,330615570,157009.7551,65585605.34,62775701,30818442.94,159336759,FALSE
2006-06-01,364259797.6,169693.4782,81060209.93,68391472,29757284.09,179378659.5,FALSE
2006-07-01,410420793.3,187820.8715,108093514.4,72186494,25439392.37,205907221.6,FALSE
2006-08-01,407762536.4,189454.9297,106591666,72016095,21728353.7,200525569.6,FALSE
2006-09-01,332055320.8,161590.3542,72673347.98,66642327,17201460.86,156678726.2,FALSE
2006-10-01,321567091.3,161389.6591,70640038.95,57509306,17055176.99,145365911.6,FALSE
2006-11-01,309158826.4,159439.5173,53439692.72,61392321,20271722.57,135263175.8,FALSE
2006-12-01,336283245.9,173508.9511,56128185.99,70489681,21595951.22,148387327.2,FALSE
2007-01-01,353531094.8,175739.4377,61474531.93,74006184,26044710.53,161701165.9,FALSE
2007-02-01,323230394.8,163602.8126,57622071.25,65224794,18566633.25,141577101.3,FALSE
2007-03-01,320471242.5,159811.0739,56203820.94,64305153,24163455.95,144832241,FALSE
2007-04-01,303129063.6,146249.5412,60152847.58,57301424,23890583.01,141491104.1,FALSE
2007-05-01,330202758,157513.2812,66469700.5,65024555,26046976.43,157698745.2,FALSE
2007-06-01,362754877.2,173512.884,81511450.79,68923074,22816608.12,173424645.8,FALSE
2007-07-01,393226432.3,185053.7876,97482675.72,72738535,22477760.53,192884025,FALSE
2007-08-01,421796659.3,190134.8163,121338426.6,72750910,19940551.04,214220022.5,FALSE
2007-09-01,355393911.9,169391.2728,88531614.71,67578578,14742534.18,171022118.2,FALSE
2007-10-01,332615416.4,162234.3561,78358023.81,61689542,14796433.75,155006233.9,FALSE
2007-11-01,314102542.6,159382.4546,60636799.25,64899278,15682053,141377512.7,FALSE
2007-12-01,346290330.5,173829.8655,66807827.97,71982726,18341674.52,157306058.4,FALSE
