,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2001-01-31,311970996.0257074,315571743.4064738,338192074.6419284,311970996.0257074,311970996.0257074,14994642.738968598,14994642.738968598,14994642.738968598,14994642.738968598,14994642.738968598,14994642.738968598,0.0,0.0,0.0,326965638.76467603
1,2001-02-28,312370244.7800243,274182940.15456283,297318204.3336855,312370244.7800243,312370244.7800243,-26771842.737686705,-26771842.737686705,-26771842.737686705,-26771842.737686705,-26771842.737686705,-26771842.737686705,0.0,0.0,0.0,285598402.0423376
2,2001-03-31,312812270.1865894,279475667.1078497,301178441.1742322,312812270.1865894,312812270.1865894,-22433474.54741365,-22433474.54741365,-22433474.54741365,-22433474.54741365,-22433474.54741365,-22433474.54741365,0.0,0.0,0.0,290378795.6391758
3,2001-04-30,313240036.70907176,258997001.33478644,281349038.63677907,313240036.70907176,313240036.70907176,-43410891.50623173,-43410891.50623173,-43410891.50623173,-43410891.50623173,-43410891.50623173,-43410891.50623173,0.0,0.0,0.0,269829145.20284003
4,2001-05-31,313682062.1156369,287810995.4362216,310732050.3530813,313682062.1156369,313682062.1156369,-14820608.855379924,-14820608.855379924,-14820608.855379924,-14820608.855379924,-14820608.855379924,-14820608.855379924,0.0,0.0,0.0,298861453.26025695
5,2001-06-30,314109828.6381192,325708854.3708529,347556208.6758637,314109828.6381192,314109828.6381192,22860782.628647655,22860782.628647655,22860782.628647655,22860782.628647655,22860782.628647655,22860782.628647655,0.0,0.0,0.0,336970611.2667669
6,2001-07-31,314551854.04468435,365891187.4246277,388782798.34154105,314551854.04468435,314551854.04468435,62890825.45018956,62890825.45018956,62890825.45018956,62890825.45018956,62890825.45018956,62890825.45018956,0.0,0.0,0.0,377442679.4948739
7,2001-08-31,314993879.4512494,360769282.5171973,384527850.6241122,314993879.4512494,314993879.4512494,57917918.21811766,57917918.21811766,57917918.21811766,57917918.21811766,57917918.21811766,57917918.21811766,0.0,0.0,0.0,372911797.6693671
8,2001-09-30,315421645.97373176,306462087.7002698,328876110.3322135,315421645.97373176,315421645.97373176,2134739.0445403103,2134739.0445403103,2134739.0445403103,2134739.0445403103,2134739.0445403103,2134739.0445403103,0.0,0.0,0.0,317556385.01827204
9,2001-10-31,315863671.38029695,280659182.347345,303249590.83546096,315863671.38029695,315863671.38029695,-23618775.29845181,-23618775.29845181,-23618775.29845181,-23618775.29845181,-23618775.29845181,-23618775.29845181,0.0,0.0,0.0,292244896.08184516
10,2001-11-30,316291437.88691777,272130837.78118026,294597095.5102365,316291437.88691777,316291437.88691777,-32140834.187130865,-32140834.187130865,-32140834.187130865,-32140834.187130865,-32140834.187130865,-32140834.187130865,0.0,0.0,0.0,284150603.6997869
11,2001-12-31,316733463.2770927,308753714.17349523,331474208.1277408,316733463.2770927,316733463.2770927,3720313.4254837143,3720313.4254837143,3720313.4254837143,3720313.4254837143,3720313.4254837143,3720313.4254837143,0.0,0.0,0.0,320453776.7025764
12,2002-01-31,317175488.66726756,320134240.90771574,343164543.1444665,317175488.66726756,317175488.66726756,14700239.732097823,14700239.732097823,14700239.732097823,14700239.732097823,14700239.732097823,14700239.732097823,0.0,0.0,0.0,331875728.39936537
13,2002-02-28,317574737.40678036,280379500.36041945,301883782.2796011,317574737.40678036,317574737.40678036,-26665682.145329125,-26665682.145329125,-26665682.145329125,-26665682.145329125,-26665682.145329125,-26665682.145329125,0.0,0.0,0.0,290909055.26145124
14,2002-03-31,318016762.7969552,286388405.7422369,309401968.76373965,318016762.7969552,318016762.7969552,-20197506.375419654,-20197506.375419654,-20197506.375419654,-20197506.375419654,-20197506.375419654,-20197506.375419654,0.0,0.0,0.0,297819256.42153555
15,2002-04-30,318444529.3035761,263349053.70018497,286976382.52750826,318444529.3035761,318444529.3035761,-43030312.72980274,-43030312.72980274,-43030312.72980274,-43030312.72980274,-43030312.72980274,-43030312.72980274,0.0,0.0,0.0,275414216.5737734
16,2002-05-31,318886554.693751,292545436.5937653,315552721.0309124,318886554.693751,318886554.693751,-15120964.101539101,-15120964.101539101,-15120964.101539101,-15120964.101539101,-15120964.101539101,-15120964.101539101,0.0,0.0,0.0,303765590.5922119
